[iter 0]: 4021188
[iter 4867] Improved: 4053380
[iter 4900] current best: 4053380
[iter 4961] Improved: 4053390
[iter 4983] Improved: 4053406
[iter 4992] Improved: 4053455
[iter 5000] current best: 4053455
[iter 5003] Improved: 4053489
[iter 5006] Improved: 4053498
[iter 5013] Improved: 4053499
[iter 5063] Improved: 4053930
[iter 5071] Improved: 4053962
[iter 5099] Improved: 4053967
[iter 5100] current best: 4053967
[iter 5120] Improved: 4053968
[iter 5183] Improved: 4054024
[iter 5186] Improved: 4054034
[iter 5195] Improved: 4054179
[iter 5196] Improved: 4054395
[iter 5200] current best: 4054395
[iter 5222] Improved: 4054396
[iter 5272] Improved: 4054670
[iter 5293] Improved: 4054698
[iter 5298] Improved: 4055023
[iter 5300] current best: 4055023
[iter 5304] Improved: 4055161
[iter 5308] Improved: 4055416
[iter 5329] Improved: 4055463
[iter 5339] Improved: 4055483
[iter 5389] Improved: 4055511
[iter 5390] Improved: 4055539
[iter 5400] current best: 4055539
[iter 5432] Improved: 4055651
[iter 5459] Improved: 4055669
[iter 5467] Improved: 4055670
[iter 5494] Improved: 4055674
[iter 5497] Improved: 4055684
[iter 5500] current best: 4055684
[iter 5506] Improved: 4055732
[iter 5515] Improved: 4055852
[iter 5524] Improved: 4055872
[iter 5534] Improved: 4055976
[iter 5541] Improved: 4055980
[iter 5571] Improved: 4056024
[iter 5600] current best: 4056024
[iter 5624] Improved: 4056120
[iter 5631] Improved: 4056123
[iter 5687] Improved: 4056130
[iter 5700] current best: 4056130
[iter 5730] Improved: 4056183
[iter 5758] Improved: 4056210
[iter 5763] Improved: 4056216
[iter 5773] Improved: 4056558
[iter 5788] Improved: 4056566
[iter 5796] Improved: 4056568
[iter 5800] current best: 4056568
[iter 5810] Improved: 4056748
[iter 5819] Improved: 4056751
[iter 5830] Improved: 4056779
[iter 5844] Improved: 4056789
[iter 5859] Improved: 4056797
[iter 5864] Improved: 4056800
[iter 5868] Improved: 4056830
[iter 5900] current best: 4056830
[iter 5912] Improved: 4057021
[iter 5918] Improved: 4057025
[iter 5933] Improved: 4057160
[iter 5941] Improved: 4057166
[iter 5964] Improved: 4057443
[iter 5978] Improved: 4057485
[iter 6000] current best: 4057485
[iter 6070] Improved: 4057488
[iter 6100] current best: 4057488
[iter 6129] Improved: 4057489
[iter 6153] Improved: 4057491
[iter 6156] Improved: 4057533
[iter 6173] Improved: 4057627
[iter 6200] current best: 4057627
[iter 6203] Improved: 4057629
[iter 6236] Improved: 4057632
[iter 6277] Improved: 4057640
[iter 6298] Improved: 4057875
[iter 6300] current best: 4057875
[iter 6306] Improved: 4057935
[iter 6335] Improved: 4057936
[iter 6341] Improved: 4057937
[iter 6347] Improved: 4057939
[iter 6361] Improved: 4057945
[iter 6363] Improved: 4057955
[iter 6400] current best: 4057955
[iter 6431] Improved: 4057976
[iter 6435] Improved: 4057988
[iter 6437] Improved: 4058150
[iter 6439] Improved: 4058215
[iter 6466] Improved: 4058370
[iter 6474] Improved: 4058386
[iter 6475] Improved: 4058419
[iter 6500] current best: 4058419
[iter 6507] Improved: 4058449
[iter 6555] Improved: 4058450
[iter 6561] Improved: 4058469
[iter 6569] Improved: 4058472
[iter 6593] Improved: 4058485
[iter 6600] current best: 4058485
[iter 6606] Improved: 4058486
[iter 6611] Improved: 4058492
[iter 6649] Improved: 4058500
[iter 6659] Improved: 4058515
[iter 6662] Improved: 4058557
[iter 6675] Improved: 4058559
[iter 6692] Improved: 4058633
[iter 6700] current best: 4058633
[iter 6701] Improved: 4058635
[iter 6730] Improved: 4058685
[iter 6736] Improved: 4058727
[iter 6753] Improved: 4058747
[iter 6770] Improved: 4058758
[iter 6800] current best: 4058758
[iter 6838] Improved: 4058759
[iter 6867] Improved: 4058760
[iter 6884] Improved: 4058761
[iter 6900] current best: 4058761
[iter 6903] Improved: 4058765
[iter 6907] Improved: 4058774
[iter 6926] Improved: 4058775
[iter 7000] current best: 4058775
[iter 7089] Improved: 4058782
[iter 7097] Improved: 4058970
[iter 7100] current best: 4058970
[iter 7109] Improved: 4058978
[iter 7111] Improved: 4058982
[iter 7112] Improved: 4058984
[iter 7118] Improved: 4059050
[iter 7152] Improved: 4059068
[iter 7157] Improved: 4059069
[iter 7191] Improved: 4059088
[iter 7192] Improved: 4059098
[iter 7197] Improved: 4059099
[iter 7200] current best: 4059099
[iter 7208] Improved: 4059105
[iter 7220] Improved: 4059171
[iter 7224] Improved: 4059176
[iter 7238] Improved: 4059177
[iter 7259] Improved: 4059179
[iter 7300] current best: 4059179
[iter 7301] Improved: 4059195
[iter 7330] Improved: 4059197
[iter 7332] Improved: 4059198
[iter 7365] Improved: 4059292
[iter 7393] Improved: 4059372
[iter 7395] Improved: 4059373
[iter 7400] current best: 4059373
[iter 7403] Improved: 4059396
[iter 7473] Improved: 4059426
[iter 7475] Improved: 4059427
[iter 7500] current best: 4059427
[iter 7516] Improved: 4059430
[iter 7529] Improved: 4059438
[iter 7537] Improved: 4059439
[iter 7545] Improved: 4059522
[iter 7559] Improved: 4059543
[iter 7591] Improved: 4059627
[iter 7600] current best: 4059627
[iter 7700] current best: 4059627
[iter 7711] Improved: 4059639
[iter 7727] Improved: 4059646
[iter 7747] Improved: 4059680
[iter 7767] Improved: 4059688
[iter 7769] Improved: 4059689
[iter 7779] Improved: 4059691
[iter 7795] Improved: 4059692
[iter 7797] Improved: 4059693
[iter 7800] current best: 4059693
[iter 7813] Improved: 4060029
[iter 7826] Improved: 4060098
[iter 7827] Improved: 4060122
[iter 7831] Improved: 4060126
[iter 7860] Improved: 4060252
[iter 7873] Improved: 4060280
[iter 7886] Improved: 4060352
[iter 7892] Improved: 4060402
[iter 7900] current best: 4060402
[iter 7927] Improved: 4060403
[iter 7939] Improved: 4060451
[iter 7974] Improved: 4060453
[iter 7984] Improved: 4060476
[iter 8000] current best: 4060476
[iter 8081] Improved: 4060484
[iter 8100] current best: 4060484
[iter 8147] Improved: 4060485
[iter 8160] Improved: 4060932
[iter 8184] Improved: 4060943
[iter 8200] Improved: 4060992
[iter 8200] current best: 4060992
[iter 8227] Improved: 4061019
[iter 8252] Improved: 4061020
[iter 8253] Improved: 4061069
[iter 8299] Improved: 4061237
[iter 8300] current best: 4061237
[iter 8341] Improved: 4061240
[iter 8377] Improved: 4061295
[iter 8393] Improved: 4061298
[iter 8399] Improved: 4061394
[iter 8400] current best: 4061394
[iter 8435] Improved: 4061510
[iter 8449] Improved: 4061517
[iter 8456] Improved: 4061542
[iter 8476] Improved: 4061553
[iter 8479] Improved: 4061555
[iter 8500] current best: 4061555
[iter 8501] Improved: 4061558
[iter 8572] Improved: 4061586
[iter 8580] Improved: 4061588
[iter 8588] Improved: 4061589
[iter 8600] current best: 4061589
[iter 8658] Improved: 4061590
[iter 8700] current best: 4061590
[iter 8715] Improved: 4061596
[iter 8730] Improved: 4061605
